Name,ID,Acceptor,Donor,Family,GN,Species
A0A058ZVW9_EUCGR,A0A058ZVW9,Null,Null,41.0,EUGRSUZ_L00641 , Eucalyptus grandis (Flooded gum).
A0A058ZXB3_EUCGR,A0A058ZXB3,Null,Null,1.0,EUGRSUZ_L005042 , Eucalyptus grandis (Flooded gum).
A0A059A4B7_EUCGR,A0A059A4B7,Null,Null,47.0,EUGRSUZ_K02191 , Eucalyptus grandis (Flooded gum).
A0A059A5D5_EUCGR,A0A059A5D5,Null,Null,28.0,EUGRSUZ_K02237 , Eucalyptus grandis (Flooded gum).
A0A059A6K4_EUCGR,A0A059A6K4,Null,Null,41.0,EUGRSUZ_K02568 , Eucalyptus grandis (Flooded gum).
A0A059ABD6_EUCGR,A0A059ABD6,Null,Null,47.0,EUGRSUZ_J00384 , Eucalyptus grandis (Flooded gum).
A0A059ABP8_EUCGR,A0A059ABP8,Null,Null,1.0,EUGRSUZ_J01008 , Eucalyptus grandis (Flooded gum).
A0A059ABW3_EUCGR,A0A059ABW3,Null,Null,1.0,EUGRSUZ_J00809 , Eucalyptus grandis (Flooded gum).
A0A059ACF1_EUCGR,A0A059ACF1,Null,Null,1.0,EUGRSUZ_J01009 , Eucalyptus grandis (Flooded gum).
A0A059ACF4_EUCGR,A0A059ACF4,Null,Null,1.0,EUGRSUZ_J01015 , Eucalyptus grandis (Flooded gum).
A0A059ACP4_EUCGR,A0A059ACP4,Null,Null,1.0,EUGRSUZ_J01005 , Eucalyptus grandis (Flooded gum).
A0A059ACY9_EUCGR,A0A059ACY9,Null,Null,1.0,EUGRSUZ_J01007 , Eucalyptus grandis (Flooded gum).
A0A059ACZ3_EUCGR,A0A059ACZ3,Null,Null,1.0,EUGRSUZ_J01013 , Eucalyptus grandis (Flooded gum).
A0A059AG13_EUCGR,A0A059AG13,Null,Null,47.0,EUGRSUZ_J02121 , Eucalyptus grandis (Flooded gum).
A0A059AH07_EUCGR,A0A059AH07,Null,Null,1.0,EUGRSUZ_J02585 , Eucalyptus grandis (Flooded gum).
A0A059AIW4_EUCGR,A0A059AIW4,Null,Null,68.0,EUGRSUZ_J02587 , Eucalyptus grandis (Flooded gum).
A0A059AN64_EUCGR,A0A059AN64,Null,Null,10.0,EUGRSUZ_I01147 , Eucalyptus grandis (Flooded gum).
A0A059AND0_EUCGR,A0A059AND0,Null,Null,10.0,EUGRSUZ_I01147 , Eucalyptus grandis (Flooded gum).
A0A059AP59_EUCGR,A0A059AP59,Null,Null,10.0,EUGRSUZ_I01147 , Eucalyptus grandis (Flooded gum).
A0A059AQ54_EUCGR,A0A059AQ54,Null,Null,92.0,EUGRSUZ_I01697 , Eucalyptus grandis (Flooded gum).
