Name,ID,Acceptor,Donor,Family,GN,Species
A0A7I8I8E1_SPIIN,A0A7I8I8E1,Null,Null,37.0,SI7747_01000495 , Spirodela intermedia (Intermediate duckweed).
A0A7I8I8I2_SPIIN,A0A7I8I8I2,Null,Null,37.0,SI7747_01000500 , Spirodela intermedia (Intermediate duckweed).
A0A7I8I8U0_SPIIN,A0A7I8I8U0,Null,Null,37.0,SI7747_01000494 , Spirodela intermedia (Intermediate duckweed).
A0A7I8I9Y2_SPIIN,A0A7I8I9Y2,Null,Null,47.0,SI7747_01001049 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IA28_SPIIN,A0A7I8IA28,Null,Null,37.0,SI7747_01000492 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IC43_SPIIN,A0A7I8IC43,Null,Null,1.0,SI7747_02001928 , Spirodela intermedia (Intermediate duckweed).
A0A7I8ICD3_SPIIN,A0A7I8ICD3,Null,Null,47.0,SI7747_01001091 , Spirodela intermedia (Intermediate duckweed).
A0A7I8ICF3_SPIIN,A0A7I8ICF3,Null,Null,47.0,SI7747_01001634 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IDB5_SPIIN,A0A7I8IDB5,Null,Null,68.0,SI7747_02002328 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IE09_SPIIN,A0A7I8IE09,Null,Null,92.0,SI7747_02002401 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IH61_SPIIN,A0A7I8IH61,Null,Null,47.0,SI7747_02002732 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IKU3_SPIIN,A0A7I8IKU3,Null,Null,47.0,SI7747_04004928 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IL56_SPIIN,A0A7I8IL56,Null,Null,47.0,SI7747_04004930 , Spirodela intermedia (Intermediate duckweed).
A0A7I8INK3_SPIIN,A0A7I8INK3,Null,Null,1.0,SI7747_05005870 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IQV3_SPIIN,A0A7I8IQV3,Null,Null,47.0,SI7747_05006336 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IWA9_SPIIN,A0A7I8IWA9,Null,Null,37.0,SI7747_06008552 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IXZ7_SPIIN,A0A7I8IXZ7,Null,Null,68.0,SI7747_07009113 , Spirodela intermedia (Intermediate duckweed).
A0A7I8J5C1_SPIIN,A0A7I8J5C1,Null,Null,10.0,SI7747_09011354 , Spirodela intermedia (Intermediate duckweed).
A0A7I8J8F6_SPIIN,A0A7I8J8F6,Null,Null,47.0,SI7747_09012414 , Spirodela intermedia (Intermediate duckweed).
A0A7I8J8T0_SPIIN,A0A7I8J8T0,Null,Null,47.0,SI7747_09012241 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JAL1_SPIIN,A0A7I8JAL1,Null,Null,47.0,SI7747_10013168 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JBX2_SPIIN,A0A7I8JBX2,Null,Null,41.0,SI7747_11013994 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JBY5_SPIIN,A0A7I8JBY5,Null,Null,10.0,SI7747_11014081 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JC76_SPIIN,A0A7I8JC76,Null,Null,47.0,SI7747_10013728 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JCB4_SPIIN,A0A7I8JCB4,Null,Null,47.0,SI7747_11014222 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JFG9_SPIIN,A0A7I8JFG9,Null,Null,37.0,SI7747_12015323 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JFJ5_SPIIN,A0A7I8JFJ5,Null,Null,37.0,SI7747_12015325 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JFL6_SPIIN,A0A7I8JFL6,Null,Null,41.0,SI7747_11014586 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JI98_SPIIN,A0A7I8JI98,Null,Null,47.0,SI7747_13016281 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JIU3_SPIIN,A0A7I8JIU3,Null,Null,47.0,SI7747_13016244 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JPY2_SPIIN,A0A7I8JPY2,Null,Null,47.0,SI7747_15018031 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JQB3_SPIIN,A0A7I8JQB3,Null,Null,47.0,SI7747_15018030 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JTR2_SPIIN,A0A7I8JTR2,Null,Null,47.0,SI7747_18019983 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JU60_SPIIN,A0A7I8JU60,Null,Null,92.0,SI7747_17019408 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JVW6_SPIIN,A0A7I8JVW6,Null,Null,47.0,SI7747_18020019 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JWU3_SPIIN,A0A7I8JWU3,Null,Null,37.0,SI8410_01000581 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JWX2_SPIIN,A0A7I8JWX2,Null,Null,37.0,SI8410_01000579 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JWX4_SPIIN,A0A7I8JWX4,Null,Null,37.0,SI8410_01000577 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JX63_SPIIN,A0A7I8JX63,Null,Null,37.0,SI8410_01000575 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JYA4_SPIIN,A0A7I8JYA4,Null,Null,37.0,SI8410_01000582 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JYP7_SPIIN,A0A7I8JYP7,Null,Null,47.0,SI8410_01001211 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JYR5_SPIIN,A0A7I8JYR5,Null,Null,47.0,SI8410_01001165 , Spirodela intermedia (Intermediate duckweed).
A0A7I8JZ21_SPIIN,A0A7I8JZ21,Null,Null,37.0,SI8410_01000583 , Spirodela intermedia (Intermediate duckweed).
A0A7I8K1G9_SPIIN,A0A7I8K1G9,Null,Null,47.0,SI8410_02002082 , Spirodela intermedia (Intermediate duckweed).
A0A7I8K1T1_SPIIN,A0A7I8K1T1,Null,Null,47.0,SI8410_02002277 , Spirodela intermedia (Intermediate duckweed).
A0A7I8K2H9_SPIIN,A0A7I8K2H9,Null,Null,68.0,SI8410_02002513 , Spirodela intermedia (Intermediate duckweed).
A0A7I8K3X7_SPIIN,A0A7I8K3X7,Null,Null,47.0,SI8410_02002275 , Spirodela intermedia (Intermediate duckweed).
A0A7I8K579_SPIIN,A0A7I8K579,Null,Null,47.0,SI8410_02002928 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KHD5_SPIIN,A0A7I8KHD5,Null,Null,1.0,SI8410_05007754 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KIY1_SPIIN,A0A7I8KIY1,Null,Null,4.0,SI8410_06008392 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KMN4_SPIIN,A0A7I8KMN4,Null,Null,37.0,SI8410_06009211 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KVT7_SPIIN,A0A7I8KVT7,Null,Null,47.0,SI8410_09012585 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KXD2_SPIIN,A0A7I8KXD2,Null,Null,10.0,SI8410_09012282 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KYF9_SPIIN,A0A7I8KYF9,Null,Null,47.0,SI8410_09013468 , Spirodela intermedia (Intermediate duckweed).
A0A7I8KZ60_SPIIN,A0A7I8KZ60,Null,Null,47.0,SI8410_09013460 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L082_SPIIN,A0A7I8L082,Null,Null,47.0,SI8410_09013292 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L0Q3_SPIIN,A0A7I8L0Q3,Null,Null,47.0,SI8410_09013462 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L2Z7_SPIIN,A0A7I8L2Z7,Null,Null,41.0,SI8410_11015097 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L388_SPIIN,A0A7I8L388,Null,Null,10.0,SI8410_11015177 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L3P1_SPIIN,A0A7I8L3P1,Null,Null,47.0,SI8410_11015325 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L4K1_SPIIN,A0A7I8L4K1,Null,Null,47.0,SI8410_10014842 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L4T9_SPIIN,A0A7I8L4T9,Null,Null,41.0,SI8410_11015701 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L736_SPIIN,A0A7I8L736,Null,Null,37.0,SI8410_12016545 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L750_SPIIN,A0A7I8L750,Null,Null,37.0,SI8410_12016539 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L7M2_SPIIN,A0A7I8L7M2,Null,Null,37.0,SI8410_12016538 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L8C0_SPIIN,A0A7I8L8C0,Null,Null,37.0,SI8410_12016534 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L9D8_SPIIN,A0A7I8L9D8,Null,Null,37.0,SI8410_12016543 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L9P2_SPIIN,A0A7I8L9P2,Null,Null,37.0,SI7747_12015452 , Spirodela intermedia (Intermediate duckweed).
A0A7I8L9S3_SPIIN,A0A7I8L9S3,Null,Null,47.0,SI8410_13017489 , Spirodela intermedia (Intermediate duckweed).
A0A7I8LGD8_SPIIN,A0A7I8LGD8,Null,Null,47.0,SI8410_15019404 , Spirodela intermedia (Intermediate duckweed).
A0A7I8LHJ0_SPIIN,A0A7I8LHJ0,Null,Null,47.0,SI8410_15019403 , Spirodela intermedia (Intermediate duckweed).
A0A7I8LHP1_SPIIN,A0A7I8LHP1,Null,Null,47.0,SI8410_15019402 , Spirodela intermedia (Intermediate duckweed).
A0A7I8LJZ4_SPIIN,A0A7I8LJZ4,Null,Null,92.0,SI8410_17020880 , Spirodela intermedia (Intermediate duckweed).
A0A7I8LL84_SPIIN,A0A7I8LL84,Null,Null,47.0,SI8410_18021485 , Spirodela intermedia (Intermediate duckweed).
A0A7I8LNJ8_SPIIN,A0A7I8LNJ8,Null,Null,47.0,SI8410_18021522 , Spirodela intermedia (Intermediate duckweed).
A0A811G4U1_SPIIN,A0A811G4U1,Null,Null,37.0,SI8410_UN004659 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IBF6_SPIIN,A0A7I8IBF6,Null,Null,1.0,SI7747_01001655 , Spirodela intermedia (Intermediate duckweed).
A0A7I8ICL2_SPIIN,A0A7I8ICL2,Null,Null,47.0,SI7747_02002098 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IDB4_SPIIN,A0A7I8IDB4,Null,Null,47.0,SI7747_02001924 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IFT5_SPIIN,A0A7I8IFT5,Null,Null,1.0,SI7747_02003109 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IFT8_SPIIN,A0A7I8IFT8,Null,Null,1.0,SI7747_03003241 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IKC3_SPIIN,A0A7I8IKC3,Null,Null,47.0,SI7747_03004277 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IL16_SPIIN,A0A7I8IL16,Null,Null,1.0,SI7747_04005035 , Spirodela intermedia (Intermediate duckweed).
A0A7I8ILT1_SPIIN,A0A7I8ILT1,Null,Null,1.0,SI7747_04005278 , Spirodela intermedia (Intermediate duckweed).
A0A7I8ILX1_SPIIN,A0A7I8ILX1,Null,Null,1.0,SI7747_04005276 , Spirodela intermedia (Intermediate duckweed).
A0A7I8ILY6_SPIIN,A0A7I8ILY6,Null,Null,1.0,SI7747_04005279 , Spirodela intermedia (Intermediate duckweed).
A0A7I8ILZ9_SPIIN,A0A7I8ILZ9,Null,Null,1.0,SI7747_04005220 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IM44_SPIIN,A0A7I8IM44,Null,Null,1.0,SI7747_04005034 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IM57_SPIIN,A0A7I8IM57,Null,Null,1.0,SI7747_04005280 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IND1_SPIIN,A0A7I8IND1,Null,Null,1.0,SI7747_04005403 , Spirodela intermedia (Intermediate duckweed).
A0A7I8INX7_SPIIN,A0A7I8INX7,Null,Null,1.0,SI7747_04005282 , Spirodela intermedia (Intermediate duckweed).
A0A7I8IP79_SPIIN,A0A7I8IP79,Null,Null,92.0,SI7747_05006090 , Spirodela intermedia (Intermediate duckweed).
