Name,ID,Acceptor,Donor,Family,GN,Species
A0A8X7YRU3_POPTO,A0A8X7YRU3,Null,Null,47.0,POTOM_043461 , Populus tomentosa (Chinese white poplar).
A0A2K1WNH2_POPTR,A0A2K1WNH2,Null,Null,41.0,POPTR_019G025600 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1WNI6_POPTR,A0A2K1WNI6,Null,Null,41.0,POPTR_019G025600 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1WP03_POPTR,A0A2K1WP03,Null,Null,47.0,POPTR_019G036500 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1WRH3_POPTR,A0A2K1WRH3,Null,Null,10.0,POPTR_019G082200 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1WXZ1_POPTR,A0A2K1WXZ1,Null,Null,47.0,POPTR_018G085400 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1WXZ6_POPTR,A0A2K1WXZ6,Null,Null,47.0,POPTR_018G085400 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1XL90_POPTR,A0A2K1XL90,Null,Null,47.0,POPTR_015G107200 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1XM49_POPTR,A0A2K1XM49,Null,Null,47.0,POPTR_015G124800 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1Y185_POPTR,A0A2K1Y185,Null,Null,41.0,POPTR_013G051400 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1YC08_POPTR,A0A2K1YC08,Null,Null,47.0,POPTR_012G109200 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1YC14_POPTR,A0A2K1YC14,Null,Null,47.0,POPTR_012G109600 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1YCP1_POPTR,A0A2K1YCP1,Null,Null,47.0,POPTR_012G124600 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1YH57_POPTR,A0A2K1YH57,Null,Null,4.0,POPTR_011G080600 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1YNI0_POPTR,A0A2K1YNI0,Null,Null,92.0,POPTR_010G039000 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1YX15_POPTR,A0A2K1YX15,Null,Null,47.0,POPTR_010G197900 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1Z5P6_POPTR,A0A2K1Z5P6,Null,Null,10.0,POPTR_009G101500 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1ZCL9_POPTR,A0A2K1ZCL9,Null,Null,47.0,POPTR_008G060500 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1ZJX2_POPTR,A0A2K1ZJX2,Null,Null,92.0,POPTR_008G192000 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1ZT17_POPTR,A0A2K1ZT17,Null,Null,47.0,POPTR_007G117800 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1ZXA1_POPTR,A0A2K1ZXA1,Null,Null,47.0,POPTR_006G054800 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K1ZXU9_POPTR,A0A2K1ZXU9,Null,Null,47.0,POPTR_006G064600 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K2A5J6_POPTR,A0A2K2A5J6,Null,Null,41.0,POPTR_006G208900 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K2A7B5_POPTR,A0A2K2A7B5,Null,Null,47.0,POPTR_006G238900 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K2A7C3_POPTR,A0A2K2A7C3,Null,Null,47.0,POPTR_006G238900 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K2AMD1_POPTR,A0A2K2AMD1,Null,Null,92.0,POPTR_005G252100 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K2AMS7_POPTR,A0A2K2AMS7,Null,Null,92.0,POPTR_005G258900 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K2B3D7_POPTR,A0A2K2B3D7,Null,Null,47.0,POPTR_003G079000 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
A0A2K2B7S3_POPTR,A0A2K2B7S3,Null,Null,92.0,POPTR_003G156600 , Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa).
