Name,ID,Donor,Family,Species
PIMA_MYCS2,A0QWG6,GDP-alpha-D-mannose,4, Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis).
OTSA_MYCS2,A0R4M9,UDP-alpha-D-glucose,20, Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis).
GYS1_RAT,A2RRU1,UDP-alpha-D-glucose,3, Rattus norvegicus (Rat).
I7GT1_SOYBN,A6BM07,UDP-alpha-D-glucose,1, Glycine max (Soybean) (Glycine hispida).
FUTA_CAEEL,G5EDR5,GDP-beta-L-fucose,10, Caenorhabditis elegans.
FUTD_CAEEL,G5EE06,GDP-beta-L-fucose,10, Caenorhabditis elegans.
FUTC_CAEEL,G5EFP5,GDP-beta-L-fucose,10, Caenorhabditis elegans.
FUT3_PANTR,O19058,GDP-beta-L-fucose,10, Pan troglodytes (Chimpanzee).
FUCT_HELPX,O30511,GDP-beta-L-fucose,10, Helicobacter pylori (Campylobacter pylori).
U74B1_ARATH,O48676,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
UD19_HUMAN,O60656,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
UDB17_HUMAN,O75795,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
MGDG1_ARATH,O81770,UDP-alpha-D-galactose,28, Arabidopsis thaliana (Mouse-ear cress).
U71C1_ARATH,O82381,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
MGDG2_ARATH,O82730,UDP-alpha-D-galactose,28, Arabidopsis thaliana (Mouse-ear cress).
FUT9_MOUSE,O88819,GDP-beta-L-fucose,10, Mus musculus (Mouse).
UD2B4_HUMAN,Q6QQX7,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
UD16_RAT,P08430,UDP-alpha-D-glucuronate,1, Rattus norvegicus (Rat).
UDB17_RAT,P08542,UDP-alpha-D-glucuronate,1, Rattus norvegicus (Rat).
UD2B1_RAT,P09875,UDP-alpha-D-glucuronate,1, Rattus norvegicus (Rat).
GYS1_HUMAN,P13807,UDP-alpha-D-glucose,3, Homo sapiens (Human).
GYS1_RABIT,P13834,UDP-alpha-D-glucose,3, Oryctolagus cuniculus (Rabbit).
ALG1_YEAST,P16661,GDP-alpha-D-mannose,33, Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).
UD2B7_HUMAN,P16662,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
GYS2_RAT,P17625,UDP-alpha-D-glucose,3, Rattus norvegicus (Rat).
UD16_HUMAN,P19224,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
UD12_RAT,P20720,UDP-alpha-D-glucuronate,1, Rattus norvegicus (Rat).
FUT3_HUMAN,P21217,GDP-beta-L-fucose,10, Homo sapiens (Human).
FUT4_HUMAN,P22083,GDP-beta-L-fucose,10, Homo sapiens (Human).
UD11_HUMAN,P22309,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
UD14_HUMAN,P22310,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
GYS1_YEAST,P23337,UDP-alpha-D-glucose,3, Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).
GYS2_YEAST,P27472,UDP-alpha-D-glucose,3, Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).
OTSA_ECOLI,P31677,UDP-alpha-D-glucose,20, Escherichia coli (strain K12).
UD13_HUMAN,P35503,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
UD15_HUMAN,P35504,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
UD2A1_RAT,P36510,UDP-alpha-D-glucuronate,1, Rattus norvegicus (Rat).
UDB15_RAT,P36511,UDP-alpha-D-glucuronate,1, Rattus norvegicus (Rat).
TPS1_SCHPO,P40387,UDP-alpha-D-glucose,20, Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).
ALG2_YEAST,P43636,GDP-alpha-D-mannose,4, Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).
UFOG_VITVI,P51094,UDP-alpha-D-glucose,1, Vitis vinifera (Grape).
FUT6_HUMAN,P51993,GDP-beta-L-fucose,10, Homo sapiens (Human).
ALG11_YEAST,P53954,GDP-alpha-D-mannose,4, Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).
UGTP_BACSU,P54166,UDP-alpha-D-glucose,28, Bacillus subtilis (strain 168).
GYS2_HUMAN,P54840,UDP-alpha-D-glucose,3, Homo sapiens (Human).
UDB15_HUMAN,P54855,UDP-alpha-D-glucuronate,1, Homo sapiens (Human).
FUT5_PANTR,P56433,GDP-beta-L-fucose,10, Pan troglodytes (Chimpanzee).
FUT6_PANTR,P56434,GDP-beta-L-fucose,10, Pan troglodytes (Chimpanzee).
FUT8_PIG,P79282,GDP-beta-L-fucose,23, Sus scrofa (Pig).
TPS1_YEAST,Q00764,UDP-alpha-D-glucose,20, Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).
ATG26_YEAST,Q06321,UDP-alpha-D-glucose,1, Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).
CGT_RAT,Q09426,UDP-alpha-D-galactose,1, Rattus norvegicus (Rat).
FUT3_BOVIN,Q11126,GDP-beta-L-fucose,10, Bos taurus (Bovine).
FUT4_MOUSE,Q11127,GDP-beta-L-fucose,10, Mus musculus (Mouse).
FUT5_HUMAN,Q11128,GDP-beta-L-fucose,10, Homo sapiens (Human).
FUT7_HUMAN,Q11130,GDP-beta-L-fucose,10, Homo sapiens (Human).
FUT7_MOUSE,Q11131,GDP-beta-L-fucose,10, Mus musculus (Mouse).
CGT_HUMAN,Q16880,UDP-alpha-D-galactose,1, Homo sapiens (Human).
OFUT1_CAEEL,Q18014,GDP-beta-L-fucose,65, Caenorhabditis elegans.
ALG11_HUMAN,Q2TAA5,GDP-alpha-D-mannose,4, Homo sapiens (Human).
ATG26_ASPOR,Q2U0C3,UDP-alpha-D-glucose,1, Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold).
UGT52_DICDI,Q54IL5,UDP-alpha-D-glucose,1, Dictyostelium discoideum (Social amoeba).
ATG26_CANAL,Q5A950,UDP-alpha-D-glucose,1, Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast).
UGAT_BELPE,Q5NTH0,UDP-alpha-D-glucuronate,1, Bellis perennis (Daisy).
U84A1_ARATH,Q5XF20,UDP-alpha-D-glucose,1, Arabidopsis thaliana (Mouse-ear cress).
UD19_MOUSE,Q62452,UDP-alpha-D-glucuronate,1, Mus musculus (Mouse).
UD2B7_RAT,Q62789,UDP-alpha-D-glucuronate,1, Rattus norvegicus (Rat).
FUT4_RAT,Q62994,GDP-beta-L-fucose,10, Rattus norvegicus (Rat).
UD11_MOUSE,Q63886,UDP-alpha-D-glucuronate,1, Mus musculus (Mouse).
